iter	Logloss
0	0.6928805804
1	0.6925231585
2	0.6922703683
3	0.6921574358
4	0.6919514509
5	0.6916322545
6	0.6914638672
7	0.6912087751
8	0.6909113421
9	0.6906683873
10	0.6905064174
11	0.6902557896
12	0.69005399
13	0.68986649
14	0.6895924247
15	0.6894022042
16	0.6891916853
17	0.6889126674
18	0.6887169364
19	0.6884765625
20	0.6882370257
21	0.6879474051
22	0.6877325614
23	0.6875948661
24	0.6874344308
25	0.6871738281
26	0.6870636858
27	0.6869063895
28	0.6867720424
29	0.686574149
30	0.6862993862
31	0.6860914481
32	0.6858898577
33	0.6856324637
34	0.6854347098
35	0.6851523438
36	0.6849394531
37	0.6847962472
38	0.6845589425
39	0.6844188058
40	0.6842675084
41	0.6839820033
42	0.683809082
43	0.6835345982
44	0.6833966239
45	0.6831540179
46	0.6829870257
47	0.6827726004
48	0.6825251116
49	0.6822862723
50	0.6821243025
51	0.6818024554
52	0.6814998605
53	0.6811813616
54	0.6809016462
55	0.6807262835
56	0.6805513393
57	0.680429269
58	0.6802399554
59	0.6800401088
60	0.6798890206
61	0.6796617606
62	0.6794896763
63	0.6793359375
64	0.6792176339
65	0.6790032087
66	0.678811942
67	0.6786577148
68	0.6784894671
69	0.6782455357
70	0.6780393415
71	0.6778818359
72	0.6777049386
73	0.6774781669
74	0.6772407924
75	0.6770091378
76	0.6767995257
77	0.6766819196
78	0.676496303
79	0.6762893415
80	0.6761554129
81	0.6759480329
82	0.6756934989
83	0.6754029715
84	0.6751545061
85	0.6750177176
86	0.6748155692
87	0.6745228097
88	0.6743616071
89	0.6741229074
90	0.673855957
91	0.6736605748
92	0.6735094169
93	0.6733653739
94	0.6731381138
95	0.6729121791
96	0.6727602539
97	0.6725939593
98	0.6724868862
99	0.6723609096
100	0.6722010324
101	0.6721902902
102	0.6719485212
103	0.6717845982
104	0.6716325335
105	0.6714493583
106	0.6712519531
107	0.6709759347
108	0.6707902483
109	0.6705592913
110	0.6702717634
111	0.6700583147
112	0.669847447
113	0.6696699916
114	0.669539481
115	0.6693553292
116	0.669331264
117	0.6691570871
118	0.6689810268
119	0.6686756417
120	0.6685505022
121	0.668359375
122	0.6682369559
123	0.6680779157
124	0.6679035296
125	0.6676728516
126	0.6674543108
127	0.6672533482
128	0.6671070731
129	0.6669701451
130	0.6667698103
131	0.6666212333
132	0.6663766044
133	0.6661759905
134	0.6659692383
135	0.665741769
136	0.6654829102
137	0.6652896205
138	0.6650828683
139	0.6648875558
140	0.6647677176
141	0.6646213728
142	0.6644793527
143	0.6642704381
144	0.6640916574
145	0.6638794643
146	0.6637421875
147	0.6635139509
148	0.6633653041
149	0.6631975446
150	0.663096889
151	0.6628447266
152	0.6626467634
153	0.6625019531
154	0.6623828823
155	0.6621898019
156	0.6620088588
157	0.6618059431
158	0.66160226
159	0.6614810268
160	0.6612692522
161	0.6610970285
162	0.6608444475
163	0.6607368164
164	0.6606053292
165	0.6604945592
166	0.6603032924
167	0.6600676618
168	0.6599320592
169	0.6597695313
170	0.6595804967
171	0.6594197824
172	0.6593115932
173	0.6591191406
174	0.6589629604
