timestamp,empleado_id,pregunta,intencion_detectada,respuesta_chatbot,satisfaccion_usuario
2025-04-23 13:41:26,E096,¿Cómo puedo contactar con RRHH?,Contactar_RRHH,Puedes contactarnos por email o teléfono.,5
2025-04-23 13:39:16,E033,¿Cuál es mi salario?,Consultar_salario,Debes seguir los siguientes pasos: el sistema de gestión.,3
2025-04-23 13:40:47,E012,¿Cuál es el horario de trabajo?,Consultar_horario,Puedes hacerlo a través de tu perfil.,5
2025-04-23 13:41:32,E064,¿Qué beneficios ofrece la empresa?,Consultar_beneficios,"Ofrecemos seguro médico, plan de pensiones como beneficios.",5
2025-04-23 13:40:17,E014,¿Qué beneficios ofrece la empresa?,Consultar_beneficios,Debes seguir los siguientes pasos: el sistema de gestión.,1
2025-04-23 13:39:40,E106,¿Cómo puedo contactar con RRHH?,Contactar_RRHH,"Sí, puedes encontrar información en la intranet.",3
2025-04-23 13:40:22,E066,¿Cómo puedo cambiar mi información personal?,Actualizar_info,Puedes contactarnos por email o teléfono.,4
2025-04-23 13:38:49,E138,¿Cómo puedo cambiar mi información personal?,Actualizar_info,"Ofrecemos seguro médico, plan de pensiones como beneficios.",3
2025-04-23 13:41:27,E079,¿Cuántos días de vacaciones me quedan?,Consultar_vacaciones,Debes seguir los siguientes pasos: el sistema de gestión.,4
2025-04-23 13:39:03,E042,¿Qué beneficios ofrece la empresa?,Consultar_beneficios,Tu salario es 1732.3.,3
2025-04-23 13:40:45,E105,¿Hay oportunidades de formación?,Consultar_formacion,"Por favor, contacta con el departamento de nóminas.",2
2025-04-23 13:40:33,E128,¿Cómo puedo contactar con RRHH?,Contactar_RRHH,"Ofrecemos seguro médico, plan de pensiones como beneficios.",5
2025-04-23 13:41:08,E065,¿Cuál es mi salario?,Consultar_salario,Debes seguir los siguientes pasos: el sistema de gestión.,3
2025-04-23 13:39:23,E096,¿Cómo solicito una baja médica?,Solicitar_baja,Debes seguir los siguientes pasos: el sistema de gestión.,3
2025-04-23 13:40:43,E048,No he recibido mi nómina.,Reclamar_nomina,Tu salario es 1577.49.,3
2025-04-23 13:40:54,E102,¿Cuál es mi salario?,Consultar_salario,Puedes hacerlo a través de tu perfil.,4
2025-04-23 13:40:44,E122,¿Cómo puedo cambiar mi información personal?,Actualizar_info,La política se encuentra en el portal del empleado.,5
2025-04-23 13:41:08,E031,¿Cómo puedo contactar con RRHH?,Contactar_RRHH,"Sí, puedes encontrar información en la intranet.",4
2025-04-23 13:38:50,E082,¿Qué beneficios ofrece la empresa?,Consultar_beneficios,Tu salario es 3294.81.,2
2025-04-23 13:38:45,E068,No he recibido mi nómina.,Reclamar_nomina,Debes seguir los siguientes pasos: el sistema de gestión.,4
2025-04-23 13:41:32,E115,¿Cómo puedo cambiar mi información personal?,Actualizar_info,Puedes hacerlo a través de tu perfil.,3
2025-04-23 13:39:01,E076,¿Qué beneficios ofrece la empresa?,Consultar_beneficios,La política se encuentra en el portal del empleado.,3
2025-04-23 13:39:27,E148,¿Qué beneficios ofrece la empresa?,Consultar_beneficios,Debes seguir los siguientes pasos: el sistema de gestión.,3
2025-04-23 13:39:10,E078,¿Cuál es el horario de trabajo?,Consultar_horario,"Por favor, contacta con el departamento de nóminas.",5
2025-04-23 13:39:23,E053,¿Cómo puedo contactar con RRHH?,Contactar_RRHH,Puedes hacerlo a través de tu perfil.,5
2025-04-23 13:39:21,E135,¿Cuál es el horario de trabajo?,Consultar_horario,Tienes 27 días disponibles.,2
2025-04-23 13:39:51,E128,¿Cuántos días de vacaciones me quedan?,Consultar_vacaciones,"Ofrecemos seguro médico, plan de pensiones como beneficios.",5
2025-04-23 13:41:12,E061,¿Cómo puedo cambiar mi información personal?,Actualizar_info,Tu salario es 2697.25.,5
2025-04-23 13:40:53,E065,¿Cómo solicito una baja médica?,Solicitar_baja,Tu salario es 3401.08.,3
2025-04-23 13:41:03,E077,¿Cómo solicito una baja médica?,Solicitar_baja,Debes seguir los siguientes pasos: el sistema de gestión.,4
2025-04-23 13:38:56,E052,¿Cuál es el horario de trabajo?,Consultar_horario,El horario es de 9:00 a 18:00.,3
2025-04-23 13:38:47,E100,¿Cómo solicito una baja médica?,Solicitar_baja,Puedes hacerlo a través de tu perfil.,3
2025-04-23 13:40:19,E007,¿Qué beneficios ofrece la empresa?,Consultar_beneficios,Puedes contactarnos por email o teléfono.,5
2025-04-23 13:41:19,E065,¿Cómo puedo contactar con RRHH?,Contactar_RRHH,Tienes 18 días disponibles.,4
2025-04-23 13:41:14,E021,¿Cuál es el horario de trabajo?,Consultar_horario,La política se encuentra en el portal del empleado.,5
2025-04-23 13:38:48,E024,¿Cuál es mi salario?,Consultar_salario,"Por favor, contacta con el departamento de nóminas.",3
2025-04-23 13:40:31,E101,No he recibido mi nómina.,Reclamar_nomina,Tu salario es 1553.85.,3
2025-04-23 13:39:12,E023,¿Hay oportunidades de formación?,Consultar_formacion,Tienes 25 días disponibles.,5
2025-04-23 13:39:04,E113,¿Cuál es la política de teletrabajo?,Consultar_politica,"Ofrecemos seguro médico, plan de pensiones como beneficios.",3
2025-04-23 13:40:16,E005,¿Cómo puedo contactar con RRHH?,Contactar_RRHH,Puedes contactarnos por email o teléfono.,1
2025-04-23 13:41:28,E090,¿Cuál es la política de teletrabajo?,Consultar_politica,"Sí, puedes encontrar información en la intranet.",1
2025-04-23 13:41:06,E090,¿Cuál es el horario de trabajo?,Consultar_horario,"Sí, puedes encontrar información en la intranet.",3
2025-04-23 13:41:18,E145,¿Cómo solicito una baja médica?,Solicitar_baja,Debes seguir los siguientes pasos: el sistema de gestión.,2
2025-04-23 13:38:56,E086,¿Cuántos días de vacaciones me quedan?,Consultar_vacaciones,"Ofrecemos seguro médico, plan de pensiones como beneficios.",2
2025-04-23 13:41:13,E066,¿Cuál es la política de teletrabajo?,Consultar_politica,La política se encuentra en el portal del empleado.,3
2025-04-23 13:41:22,E009,¿Cómo puedo cambiar mi información personal?,Actualizar_info,La política se encuentra en el portal del empleado.,5
2025-04-23 13:39:52,E048,¿Hay oportunidades de formación?,Consultar_formacion,Puedes contactarnos por email o teléfono.,5
2025-04-23 13:39:33,E060,¿Cuál es el horario de trabajo?,Consultar_horario,Tu salario es 1796.5.,2
2025-04-23 13:41:34,E092,¿Cómo puedo contactar con RRHH?,Contactar_RRHH,"Ofrecemos seguro médico, plan de pensiones como beneficios.",5
2025-04-23 13:39:26,E129,No he recibido mi nómina.,Reclamar_nomina,Puedes contactarnos por email o teléfono.,5
2025-04-23 13:38:49,E064,¿Cómo puedo contactar con RRHH?,Contactar_RRHH,Puedes hacerlo a través de tu perfil.,3
2025-04-23 13:40:07,E144,¿Qué beneficios ofrece la empresa?,Consultar_beneficios,Tu salario es 2384.04.,3
2025-04-23 13:39:29,E098,¿Cómo solicito una baja médica?,Solicitar_baja,Debes seguir los siguientes pasos: el sistema de gestión.,5
2025-04-23 13:41:00,E095,¿Cuál es el horario de trabajo?,Consultar_horario,La política se encuentra en el portal del empleado.,4
2025-04-23 13:38:48,E015,¿Hay oportunidades de formación?,Consultar_formacion,Puedes hacerlo a través de tu perfil.,4
2025-04-23 13:40:39,E045,¿Cómo solicito una baja médica?,Solicitar_baja,"Por favor, contacta con el departamento de nóminas.",4
2025-04-23 13:40:01,E112,¿Cómo solicito una baja médica?,Solicitar_baja,"Ofrecemos seguro médico, plan de pensiones como beneficios.",3
2025-04-23 13:41:04,E068,¿Cómo solicito una baja médica?,Solicitar_baja,Debes seguir los siguientes pasos: el sistema de gestión.,1
2025-04-23 13:40:34,E049,¿Qué beneficios ofrece la empresa?,Consultar_beneficios,Tienes 17 días disponibles.,3
2025-04-23 13:39:23,E016,¿Cómo puedo contactar con RRHH?,Contactar_RRHH,El horario es de 9:00 a 18:00.,1
2025-04-23 13:41:26,E095,¿Qué beneficios ofrece la empresa?,Consultar_beneficios,Tienes 11 días disponibles.,3
2025-04-23 13:40:20,E045,¿Cómo puedo cambiar mi información personal?,Actualizar_info,La política se encuentra en el portal del empleado.,5
2025-04-23 13:40:32,E073,¿Cuál es la política de teletrabajo?,Consultar_politica,Tienes 25 días disponibles.,1
2025-04-23 13:39:09,E008,¿Cómo puedo cambiar mi información personal?,Actualizar_info,Puedes hacerlo a través de tu perfil.,5
2025-04-23 13:41:30,E083,¿Cuál es la política de teletrabajo?,Consultar_politica,Debes seguir los siguientes pasos: el sistema de gestión.,1
2025-04-23 13:40:25,E078,No he recibido mi nómina.,Reclamar_nomina,Puedes hacerlo a través de tu perfil.,3
2025-04-23 13:39:53,E087,¿Hay oportunidades de formación?,Consultar_formacion,Tu salario es 2089.51.,5
2025-04-23 13:41:20,E024,¿Cómo puedo contactar con RRHH?,Contactar_RRHH,Puedes contactarnos por email o teléfono.,4
2025-04-23 13:40:14,E076,¿Cómo puedo contactar con RRHH?,Contactar_RRHH,Tienes 17 días disponibles.,5
2025-04-23 13:40:55,E104,¿Hay oportunidades de formación?,Consultar_formacion,Puedes hacerlo a través de tu perfil.,3
2025-04-23 13:40:41,E047,¿Cuál es el horario de trabajo?,Consultar_horario,Tienes 16 días disponibles.,4
2025-04-23 13:38:51,E129,¿Cuál es el horario de trabajo?,Consultar_horario,Puedes contactarnos por email o teléfono.,5
2025-04-23 13:39:46,E135,¿Cómo puedo contactar con RRHH?,Contactar_RRHH,"Por favor, contacta con el departamento de nóminas.",1
2025-04-23 13:40:47,E118,¿Cómo puedo contactar con RRHH?,Contactar_RRHH,"Por favor, contacta con el departamento de nóminas.",5
2025-04-23 13:38:57,E039,¿Cuál es el horario de trabajo?,Consultar_horario,La política se encuentra en el portal del empleado.,3
2025-04-23 13:40:10,E045,¿Cómo puedo contactar con RRHH?,Contactar_RRHH,"Ofrecemos seguro médico, plan de pensiones como beneficios.",2
2025-04-23 13:39:13,E095,¿Cuántos días de vacaciones me quedan?,Consultar_vacaciones,El horario es de 9:00 a 18:00.,5
