empleado_id,fecha_encuesta,pregunta,respuesta,comentarios
E340,2024-06-08,¿Qué tan satisfecho estás con tu salario y beneficios?,5,
E340,2024-06-08,¿Sientes que tienes oportunidades de crecimiento y desarrollo profesional en la empresa?,5,
E340,2024-06-08,¿Cómo calificarías la comunicación con tu supervisor directo?,1,
E340,2024-06-08,¿Qué tan positivo dirías que es el ambiente laboral en tu equipo?,2,
E340,2024-06-08,¿Consideras que la empresa se preocupa por el bienestar de sus empleados?,4,
E340,2024-06-08,¿Recomendarías esta empresa a un amigo/a para trabajar?,1,
E340,2024-06-08,¿Qué tan claras son las políticas y procedimientos de la empresa?,2,
E340,2024-06-08,¿Sientes que tu trabajo es valorado y reconocido?,5,
E340,2024-06-08,¿Estás satisfecho con el equilibrio entre tu vida laboral y personal?,4,
E340,2024-06-08,¿Hay algo específico que te gustaría que la empresa mejorara?,,
E415,2024-09-07,¿Qué tan satisfecho estás con tu salario y beneficios?,2,
E415,2024-09-07,¿Sientes que tienes oportunidades de crecimiento y desarrollo profesional en la empresa?,5,
E415,2024-09-07,¿Cómo calificarías la comunicación con tu supervisor directo?,3,
E415,2024-09-07,¿Qué tan positivo dirías que es el ambiente laboral en tu equipo?,4,
E415,2024-09-07,¿Consideras que la empresa se preocupa por el bienestar de sus empleados?,5,
E415,2024-09-07,¿Recomendarías esta empresa a un amigo/a para trabajar?,4,
E415,2024-09-07,¿Qué tan claras son las políticas y procedimientos de la empresa?,5,
E415,2024-09-07,¿Sientes que tu trabajo es valorado y reconocido?,1,
E415,2024-09-07,¿Estás satisfecho con el equilibrio entre tu vida laboral y personal?,2,
E415,2024-09-07,¿Hay algo específico que te gustaría que la empresa mejorara?,,
E434,2024-09-20,¿Qué tan satisfecho estás con tu salario y beneficios?,3,
E434,2024-09-20,¿Sientes que tienes oportunidades de crecimiento y desarrollo profesional en la empresa?,1,
E434,2024-09-20,¿Cómo calificarías la comunicación con tu supervisor directo?,2,
E434,2024-09-20,¿Qué tan positivo dirías que es el ambiente laboral en tu equipo?,1,
E434,2024-09-20,¿Consideras que la empresa se preocupa por el bienestar de sus empleados?,3,
E434,2024-09-20,¿Recomendarías esta empresa a un amigo/a para trabajar?,4,
E434,2024-09-20,¿Qué tan claras son las políticas y procedimientos de la empresa?,5,
E434,2024-09-20,¿Sientes que tu trabajo es valorado y reconocido?,3,
E434,2024-09-20,¿Estás satisfecho con el equilibrio entre tu vida laboral y personal?,1,
E434,2024-09-20,¿Hay algo específico que te gustaría que la empresa mejorara?,,Magni non iusto saepe unde sint consequuntur dicta corrupti iure assumenda.
E617,2025-02-27,¿Qué tan satisfecho estás con tu salario y beneficios?,4,
E617,2025-02-27,¿Sientes que tienes oportunidades de crecimiento y desarrollo profesional en la empresa?,5,
E617,2025-02-27,¿Cómo calificarías la comunicación con tu supervisor directo?,4,
E617,2025-02-27,¿Qué tan positivo dirías que es el ambiente laboral en tu equipo?,4,
E617,2025-02-27,¿Consideras que la empresa se preocupa por el bienestar de sus empleados?,5,
E617,2025-02-27,¿Recomendarías esta empresa a un amigo/a para trabajar?,2,
E617,2025-02-27,¿Qué tan claras son las políticas y procedimientos de la empresa?,2,
E617,2025-02-27,¿Sientes que tu trabajo es valorado y reconocido?,3,
E617,2025-02-27,¿Estás satisfecho con el equilibrio entre tu vida laboral y personal?,2,
E617,2025-02-27,¿Hay algo específico que te gustaría que la empresa mejorara?,,
E334,2025-04-02,¿Qué tan satisfecho estás con tu salario y beneficios?,3,
E334,2025-04-02,¿Sientes que tienes oportunidades de crecimiento y desarrollo profesional en la empresa?,5,
E334,2025-04-02,¿Cómo calificarías la comunicación con tu supervisor directo?,4,
E334,2025-04-02,¿Qué tan positivo dirías que es el ambiente laboral en tu equipo?,3,
E334,2025-04-02,¿Consideras que la empresa se preocupa por el bienestar de sus empleados?,4,
E334,2025-04-02,¿Recomendarías esta empresa a un amigo/a para trabajar?,3,
E334,2025-04-02,¿Qué tan claras son las políticas y procedimientos de la empresa?,1,
E334,2025-04-02,¿Sientes que tu trabajo es valorado y reconocido?,1,
E334,2025-04-02,¿Estás satisfecho con el equilibrio entre tu vida laboral y personal?,4,
E334,2025-04-02,¿Hay algo específico que te gustaría que la empresa mejorara?,,
E305,2024-10-12,¿Qué tan satisfecho estás con tu salario y beneficios?,2,
E305,2024-10-12,¿Sientes que tienes oportunidades de crecimiento y desarrollo profesional en la empresa?,2,
E305,2024-10-12,¿Cómo calificarías la comunicación con tu supervisor directo?,2,
E305,2024-10-12,¿Qué tan positivo dirías que es el ambiente laboral en tu equipo?,5,
E305,2024-10-12,¿Consideras que la empresa se preocupa por el bienestar de sus empleados?,2,
E305,2024-10-12,¿Recomendarías esta empresa a un amigo/a para trabajar?,1,
E305,2024-10-12,¿Qué tan claras son las políticas y procedimientos de la empresa?,4,
E305,2024-10-12,¿Sientes que tu trabajo es valorado y reconocido?,2,
E305,2024-10-12,¿Estás satisfecho con el equilibrio entre tu vida laboral y personal?,3,
E305,2024-10-12,¿Hay algo específico que te gustaría que la empresa mejorara?,,Hic sunt quidem in earum numquam quibusdam possimus ipsa.
E848,2025-04-21,¿Qué tan satisfecho estás con tu salario y beneficios?,3,
E848,2025-04-21,¿Sientes que tienes oportunidades de crecimiento y desarrollo profesional en la empresa?,2,
E848,2025-04-21,¿Cómo calificarías la comunicación con tu supervisor directo?,1,
E848,2025-04-21,¿Qué tan positivo dirías que es el ambiente laboral en tu equipo?,2,
E848,2025-04-21,¿Consideras que la empresa se preocupa por el bienestar de sus empleados?,4,
E848,2025-04-21,¿Recomendarías esta empresa a un amigo/a para trabajar?,3,
E848,2025-04-21,¿Qué tan claras son las políticas y procedimientos de la empresa?,2,
E848,2025-04-21,¿Sientes que tu trabajo es valorado y reconocido?,5,
E848,2025-04-21,¿Estás satisfecho con el equilibrio entre tu vida laboral y personal?,5,
E848,2025-04-21,¿Hay algo específico que te gustaría que la empresa mejorara?,,Minima sapiente ipsum temporibus unde esse fugit sit ut beatae.
E1185,2024-07-23,¿Qué tan satisfecho estás con tu salario y beneficios?,5,
E1185,2024-07-23,¿Sientes que tienes oportunidades de crecimiento y desarrollo profesional en la empresa?,3,
E1185,2024-07-23,¿Cómo calificarías la comunicación con tu supervisor directo?,2,
E1185,2024-07-23,¿Qué tan positivo dirías que es el ambiente laboral en tu equipo?,2,
E1185,2024-07-23,¿Consideras que la empresa se preocupa por el bienestar de sus empleados?,1,
E1185,2024-07-23,¿Recomendarías esta empresa a un amigo/a para trabajar?,4,
E1185,2024-07-23,¿Qué tan claras son las políticas y procedimientos de la empresa?,1,
E1185,2024-07-23,¿Sientes que tu trabajo es valorado y reconocido?,3,
E1185,2024-07-23,¿Estás satisfecho con el equilibrio entre tu vida laboral y personal?,2,
E1185,2024-07-23,¿Hay algo específico que te gustaría que la empresa mejorara?,,
E1138,2025-01-27,¿Qué tan satisfecho estás con tu salario y beneficios?,2,
E1138,2025-01-27,¿Sientes que tienes oportunidades de crecimiento y desarrollo profesional en la empresa?,2,
E1138,2025-01-27,¿Cómo calificarías la comunicación con tu supervisor directo?,3,
E1138,2025-01-27,¿Qué tan positivo dirías que es el ambiente laboral en tu equipo?,2,
E1138,2025-01-27,¿Consideras que la empresa se preocupa por el bienestar de sus empleados?,3,
E1138,2025-01-27,¿Recomendarías esta empresa a un amigo/a para trabajar?,4,
E1138,2025-01-27,¿Qué tan claras son las políticas y procedimientos de la empresa?,3,
E1138,2025-01-27,¿Sientes que tu trabajo es valorado y reconocido?,3,
E1138,2025-01-27,¿Estás satisfecho con el equilibrio entre tu vida laboral y personal?,1,
E1138,2025-01-27,¿Hay algo específico que te gustaría que la empresa mejorara?,,
E422,2025-02-25,¿Qué tan satisfecho estás con tu salario y beneficios?,3,
E422,2025-02-25,¿Sientes que tienes oportunidades de crecimiento y desarrollo profesional en la empresa?,5,
E422,2025-02-25,¿Cómo calificarías la comunicación con tu supervisor directo?,3,
E422,2025-02-25,¿Qué tan positivo dirías que es el ambiente laboral en tu equipo?,5,
E422,2025-02-25,¿Consideras que la empresa se preocupa por el bienestar de sus empleados?,4,
E422,2025-02-25,¿Recomendarías esta empresa a un amigo/a para trabajar?,4,
E422,2025-02-25,¿Qué tan claras son las políticas y procedimientos de la empresa?,3,
E422,2025-02-25,¿Sientes que tu trabajo es valorado y reconocido?,2,
E422,2025-02-25,¿Estás satisfecho con el equilibrio entre tu vida laboral y personal?,5,
E422,2025-02-25,¿Hay algo específico que te gustaría que la empresa mejorara?,,Sunt sint esse quia quis fugiat nemo temporibus et voluptatum.
E366,2024-08-14,¿Qué tan satisfecho estás con tu salario y beneficios?,3,
E366,2024-08-14,¿Sientes que tienes oportunidades de crecimiento y desarrollo profesional en la empresa?,4,
E366,2024-08-14,¿Cómo calificarías la comunicación con tu supervisor directo?,4,
E366,2024-08-14,¿Qué tan positivo dirías que es el ambiente laboral en tu equipo?,2,
E366,2024-08-14,¿Consideras que la empresa se preocupa por el bienestar de sus empleados?,3,
E366,2024-08-14,¿Recomendarías esta empresa a un amigo/a para trabajar?,4,
E366,2024-08-14,¿Qué tan claras son las políticas y procedimientos de la empresa?,4,
E366,2024-08-14,¿Sientes que tu trabajo es valorado y reconocido?,2,
E366,2024-08-14,¿Estás satisfecho con el equilibrio entre tu vida laboral y personal?,1,
E366,2024-08-14,¿Hay algo específico que te gustaría que la empresa mejorara?,,Molestiae nulla fugit temporibus ratione doloribus.
E259,2025-03-20,¿Qué tan satisfecho estás con tu salario y beneficios?,2,
E259,2025-03-20,¿Sientes que tienes oportunidades de crecimiento y desarrollo profesional en la empresa?,3,
E259,2025-03-20,¿Cómo calificarías la comunicación con tu supervisor directo?,4,
E259,2025-03-20,¿Qué tan positivo dirías que es el ambiente laboral en tu equipo?,3,
E259,2025-03-20,¿Consideras que la empresa se preocupa por el bienestar de sus empleados?,5,
E259,2025-03-20,¿Recomendarías esta empresa a un amigo/a para trabajar?,3,
E259,2025-03-20,¿Qué tan claras son las políticas y procedimientos de la empresa?,4,
E259,2025-03-20,¿Sientes que tu trabajo es valorado y reconocido?,5,
E259,2025-03-20,¿Estás satisfecho con el equilibrio entre tu vida laboral y personal?,1,
E259,2025-03-20,¿Hay algo específico que te gustaría que la empresa mejorara?,,
E483,2024-09-20,¿Qué tan satisfecho estás con tu salario y beneficios?,4,
