empleado_id,fecha,hora_inicio,hora_fin,tipo_turno,ubicacion,notas
E027,2024-08-08,07:17,14:17,Mañana,Oficina Central,
E007,2024-04-26,15:36,23:36,Tarde,Oficina Central,
E072,2024-07-17,08:35,15:35,Libre,Planta de Producción,
E068,2024-09-07,09:14,16:14,Tarde,Oficina Central,
E128,2025-02-14,23:19,05:19,Noche,Almacén,
E149,2025-03-03,00:57,08:57,Noche,Oficina Remota,
E102,2024-05-19,10:14,18:14,Libre,Planta de Producción,Ab reiciendis tenetur doloremque quis.
E106,2025-01-04,17:39,23:39,Libre,Planta de Producción,
E061,2024-10-25,04:02,12:02,Tarde,Oficina Central,Doloremque deleniti qui dolore nihil.
E127,2025-02-10,08:19,16:19,Noche,Almacén,
E103,2024-04-29,02:07,10:07,Noche,Planta de Producción,
E107,2024-06-04,23:44,05:44,Noche,Oficina Remota,
E104,2025-01-14,08:27,16:27,Mañana,Planta de Producción,
E116,2025-01-09,17:09,23:09,Noche,Oficina Remota,
E069,2025-01-24,12:33,19:33,Noche,Oficina Remota,
E143,2024-05-06,04:34,10:34,Noche,Oficina Central,
E093,2024-07-31,08:29,14:29,Mañana,Oficina Remota,
E096,2025-02-03,20:26,02:26,Tarde,Oficina Remota,
E125,2024-07-22,11:15,17:15,Tarde,Oficina Central,
E110,2025-04-13,19:02,03:02,Noche,Oficina Central,
E091,2024-11-13,15:44,21:44,Libre,Almacén,
E046,2025-01-20,02:35,08:35,Noche,Oficina Remota,
E138,2024-08-18,03:09,10:09,Mañana,Planta de Producción,
E055,2024-08-16,07:53,13:53,Libre,Almacén,
E121,2024-07-18,14:50,22:50,Libre,Planta de Producción,
E035,2024-06-18,11:14,19:14,Libre,Oficina Central,
E110,2024-05-12,12:24,18:24,Tarde,Almacén,
E060,2025-03-18,02:35,09:35,Tarde,Oficina Remota,
E014,2024-05-08,05:25,12:25,Libre,Almacén,
E072,2024-12-02,05:27,11:27,Libre,Almacén,
E009,2024-12-04,06:29,13:29,Mañana,Oficina Central,
