id_solicitud,id_empleado,fecha_inicio,fecha_fin,duracion_dias,fecha_solicitud,estado,motivo_rechazo,periodo_anio,mes_solicitud,dia_semana_solicitud
1,83,2024-11-10,2024-11-13,4,2024-08-29,Aceptada,,2024,8,Thursday
2,91,2024-08-15,2024-09-03,20,2024-05-23,Rechazada,Duración de vacaciones excede el límite permitido de 10 días.,2024,5,Thursday
3,19,2025-03-08,2025-03-08,1,2025-02-03,Aceptada,,2025,2,Monday
4,18,2025-02-02,2025-02-20,19,2025-01-13,Rechazada,Duración de vacaciones excede el límite permitido de 12 días.,2025,1,Monday
5,27,2025-02-12,2025-02-18,7,2025-01-22,Aceptada,,2025,1,Wednesday
6,24,2025-02-08,2025-02-09,2,2025-01-26,Aceptada,,2025,1,Sunday
7,27,2024-07-09,2024-07-11,3,2024-04-29,Aceptada,,2024,4,Monday
8,31,2024-06-07,2024-06-17,11,2024-04-29,Aceptada,,2024,4,Monday
9,127,2025-02-13,2025-02-26,14,2024-11-22,Rechazada,Duración de vacaciones excede el límite permitido de 12 días.,2025,11,Friday
10,36,2025-04-09,2025-04-19,11,2025-01-19,Aceptada,,2025,1,Sunday
11,8,2024-08-04,2024-08-08,5,2024-06-12,Aceptada,,2024,6,Wednesday
12,121,2024-12-19,2024-12-26,8,2024-10-01,Aceptada,,2024,10,Tuesday
13,61,2024-07-17,2024-07-21,5,2024-05-15,Aceptada,,2024,5,Wednesday
14,14,2025-06-14,2025-06-16,3,2025-03-16,Aceptada,,2025,3,Sunday
15,93,2024-06-19,2024-07-02,14,2024-04-25,Aceptada,,2024,4,Thursday
16,137,2024-06-13,2024-06-14,2,2024-06-01,Aceptada,,2024,6,Saturday
17,25,2024-07-03,2024-07-06,4,2024-06-17,Aceptada,,2024,6,Monday
18,64,2024-05-28,2024-06-12,16,2024-05-08,Rechazada,Duración de vacaciones excede el límite permitido de 15 días.,2024,5,Wednesday
19,82,2025-04-18,2025-04-29,12,2025-03-18,Aceptada,,2025,3,Tuesday
20,6,2025-03-07,2025-03-24,18,2025-01-28,Rechazada,Duración de vacaciones excede el límite permitido de 10 días.,2025,1,Tuesday
21,77,2025-05-10,2025-05-18,9,2025-03-28,Aceptada,,2025,3,Friday
22,100,2025-05-05,2025-05-13,9,2025-03-11,Aceptada,,2025,3,Tuesday
23,60,2024-07-03,2024-07-21,19,2024-05-16,Rechazada,Duración de vacaciones excede el límite permitido de 12 días.,2024,5,Thursday
24,35,2024-09-01,2024-09-03,3,2024-08-03,Aceptada,,2024,8,Saturday
25,51,2024-11-07,2024-11-10,4,2024-09-25,Aceptada,,2024,9,Wednesday
26,97,2024-12-15,2024-12-21,7,2024-09-20,Rechazada,No se cumple la antigüedad mínima de 3.0 meses.,2024,9,Friday
27,88,2024-09-01,2024-09-06,6,2024-07-23,Aceptada,,2024,7,Tuesday
28,30,2024-12-14,2024-12-19,6,2024-11-02,Aceptada,,2024,11,Saturday
29,107,2024-12-26,2025-01-04,10,2024-09-30,Aceptada,,2024,9,Monday
30,99,2024-10-01,2024-10-07,7,2024-08-31,Aceptada,,2024,8,Saturday
31,24,2025-03-04,2025-03-11,8,2024-12-17,Aceptada,,2025,12,Tuesday
32,15,2024-06-02,2024-06-15,14,2024-05-01,Aceptada,,2024,5,Wednesday
33,95,2024-10-23,2024-11-05,14,2024-08-31,Rechazada,Duración de vacaciones excede el límite permitido de 10 días.,2024,8,Saturday
34,84,2025-04-24,2025-05-06,13,2025-04-08,Aceptada,,2025,4,Tuesday
35,94,2024-06-23,2024-07-08,16,2024-05-26,Rechazada,Duración de vacaciones excede el límite permitido de 10 días.,2024,5,Sunday
36,43,2024-12-02,2024-12-21,20,2024-09-08,Rechazada,Duración de vacaciones excede el límite permitido de 10 días.,2024,9,Sunday
37,44,2024-11-12,2024-11-22,11,2024-10-05,Rechazada,Duración de vacaciones excede el límite permitido de 10 días.,2024,10,Saturday
38,129,2024-08-24,2024-08-29,6,2024-07-23,Aceptada,,2024,7,Tuesday
39,99,2025-05-28,2025-06-05,9,2025-04-10,Aceptada,,2025,4,Thursday
40,142,2024-08-11,2024-08-21,11,2024-07-04,Aceptada,,2024,7,Thursday
41,114,2024-08-21,2024-08-29,9,2024-05-23,Aceptada,,2024,5,Thursday
42,81,2024-07-25,2024-08-05,12,2024-07-15,Rechazada,Duración de vacaciones excede el límite permitido de 10 días.,2024,7,Monday
43,145,2025-02-03,2025-02-17,15,2024-11-08,Aceptada,,2025,11,Friday
44,105,2024-12-28,2025-01-04,8,2024-12-08,Aceptada,,2024,12,Sunday
45,69,2024-07-01,2024-07-07,7,2024-05-29,Aceptada,,2024,5,Wednesday
46,50,2024-05-22,2024-06-07,17,2024-05-10,Rechazada,Duración de vacaciones excede el límite permitido de 15 días.,2024,5,Friday
47,85,2024-07-23,2024-08-10,19,2024-06-30,Rechazada,Duración de vacaciones excede el límite permitido de 18 días.,2024,6,Sunday
48,115,2024-09-01,2024-09-10,10,2024-07-30,Rechazada,Se supera el número máximo de 1.0 empleados de vacaciones simultáneamente en el departamento.,2024,7,Tuesday
49,82,2024-08-28,2024-09-03,7,2024-06-02,Aceptada,,2024,6,Sunday
50,50,2024-12-20,2024-12-29,10,2024-12-05,Aceptada,,2024,12,Thursday
51,109,2024-06-26,2024-07-07,12,2024-05-17,Aceptada,,2024,5,Friday
52,144,2025-05-14,2025-05-20,7,2025-03-26,Rechazada,No se cumple la antigüedad mínima de 6.0 meses.,2025,3,Wednesday
53,148,2025-02-03,2025-02-03,1,2024-12-18,Aceptada,,2025,12,Wednesday
54,85,2024-11-19,2024-11-19,1,2024-11-12,Aceptada,,2024,11,Tuesday
55,122,2025-01-13,2025-01-18,6,2024-11-17,Aceptada,,2025,11,Sunday
56,146,2024-08-08,2024-08-26,19,2024-06-04,Rechazada,Duración de vacaciones excede el límite permitido de 10 días.,2024,6,Tuesday
57,99,2024-11-24,2024-12-05,12,2024-11-02,Aceptada,,2024,11,Saturday
58,31,2025-01-15,2025-02-03,20,2024-12-13,Aceptada,,2025,12,Friday
59,125,2024-10-04,2024-10-13,10,2024-09-15,Aceptada,,2024,9,Sunday
60,6,2024-09-01,2024-09-03,3,2024-08-21,Aceptada,,2024,8,Wednesday
61,124,2024-12-11,2024-12-23,13,2024-09-21,Rechazada,Se supera el número máximo de 1.0 empleados de vacaciones simultáneamente en el departamento.,2024,9,Saturday
62,39,2024-10-15,2024-10-20,6,2024-09-21,Aceptada,,2024,9,Saturday
63,38,2024-08-04,2024-08-21,18,2024-07-15,Rechazada,Se supera el número máximo de 1.0 empleados de vacaciones simultáneamente en el departamento.,2024,7,Monday
64,60,2025-03-19,2025-03-28,10,2025-01-20,Aceptada,,2025,1,Monday
65,121,2025-01-29,2025-01-29,1,2024-11-03,Aceptada,,2025,11,Sunday
66,40,2024-07-19,2024-07-20,2,2024-06-13,Aceptada,,2024,6,Thursday
67,58,2024-08-10,2024-08-13,4,2024-06-25,Aceptada,,2024,6,Tuesday
68,73,2024-12-13,2024-12-28,16,2024-10-14,Aceptada,,2024,10,Monday
69,114,2024-10-13,2024-10-24,12,2024-08-31,Rechazada,Duración de vacaciones excede el límite permitido de 10 días.,2024,8,Saturday
70,57,2025-03-26,2025-03-27,2,2025-03-15,Aceptada,,2025,3,Saturday
71,76,2024-07-23,2024-07-27,5,2024-06-29,Aceptada,,2024,6,Saturday
72,124,2024-12-29,2025-01-14,17,2024-12-24,Rechazada,Duración de vacaciones excede el límite permitido de 15 días.,2024,12,Tuesday
73,86,2024-10-08,2024-10-15,8,2024-07-22,Aceptada,,2024,7,Monday
74,62,2025-05-03,2025-05-17,15,2025-02-10,Rechazada,Duración de vacaciones excede el límite permitido de 12 días.,2025,2,Monday
75,64,2025-01-19,2025-01-24,6,2024-12-17,Aceptada,,2025,12,Tuesday
76,56,2024-08-23,2024-08-26,4,2024-07-18,Aceptada,,2024,7,Thursday
77,34,2025-05-25,2025-06-05,12,2025-03-31,Aceptada,,2025,3,Monday
78,91,2025-01-03,2025-01-16,14,2024-12-07,Rechazada,Duración de vacaciones excede el límite permitido de 10 días.,2025,12,Saturday
79,106,2025-05-31,2025-06-13,14,2025-04-10,Rechazada,Duración de vacaciones excede el límite permitido de 10 días.,2025,4,Thursday
80,51,2024-11-02,2024-11-20,19,2024-10-04,Aceptada,,2024,10,Friday
81,56,2025-04-14,2025-04-22,9,2025-02-22,Aceptada,,2025,2,Saturday
82,75,2025-01-24,2025-01-24,1,2024-12-01,Aceptada,,2025,12,Sunday
83,141,2025-05-14,2025-05-24,11,2025-03-26,Rechazada,No se cumple la antigüedad mínima de 12.0 meses.,2025,3,Wednesday
84,37,2025-04-21,2025-04-24,4,2025-02-23,Aceptada,,2025,2,Sunday
85,93,2025-04-21,2025-05-07,17,2025-04-14,Aceptada,,2025,4,Monday
86,78,2024-09-01,2024-09-06,6,2024-07-12,Aceptada,,2024,7,Friday
87,45,2024-09-26,2024-09-30,5,2024-09-15,Aceptada,,2024,9,Sunday
88,20,2025-03-27,2025-03-29,3,2025-03-11,Aceptada,,2025,3,Tuesday
89,126,2025-04-27,2025-05-02,6,2025-02-10,Aceptada,,2025,2,Monday
90,82,2024-08-02,2024-08-03,2,2024-06-25,Aceptada,,2024,6,Tuesday
91,115,2025-05-26,2025-06-10,16,2025-04-11,Rechazada,Duración de vacaciones excede el límite permitido de 12 días.,2025,4,Friday
92,58,2025-06-04,2025-06-07,4,2025-04-14,Aceptada,,2025,4,Monday
93,133,2025-04-14,2025-04-26,13,2025-02-27,Rechazada,Se supera el número máximo de 3.0 empleados de vacaciones simultáneamente en el departamento.,2025,2,Thursday
94,130,2024-08-26,2024-08-29,4,2024-07-12,Aceptada,,2024,7,Friday
95,73,2024-12-07,2024-12-18,12,2024-12-01,Aceptada,,2024,12,Sunday
96,106,2025-01-07,2025-01-20,14,2024-10-22,Rechazada,Duración de vacaciones excede el límite permitido de 10 días.,2025,10,Tuesday
97,40,2024-09-23,2024-10-10,18,2024-07-27,Rechazada,Duración de vacaciones excede el límite permitido de 15 días.,2024,7,Saturday
98,139,2024-12-01,2024-12-08,8,2024-09-11,Aceptada,,2024,9,Wednesday
99,74,2025-03-25,2025-04-07,14,2025-03-01,Aceptada,,2025,3,Saturday
100,6,2024-10-30,2024-11-14,16,2024-09-09,Rechazada,Duración de vacaciones excede el límite permitido de 10 días.,2024,9,Monday
101,112,2024-10-14,2024-10-16,3,2024-08-13,Aceptada,,2024,8,Tuesday
102,79,2024-08-14,2024-08-22,9,2024-07-03,Aceptada,,2024,7,Wednesday
103,103,2025-05-14,2025-05-16,3,2025-03-04,Aceptada,,2025,3,Tuesday
104,106,2024-09-30,2024-10-08,9,2024-07-13,Aceptada,,2024,7,Saturday
105,139,2024-12-25,2025-01-05,12,2024-10-21,Rechazada,Duración de vacaciones excede el límite permitido de 10 días.,2024,10,Monday
106,19,2024-06-30,2024-07-02,3,2024-06-04,Aceptada,,2024,6,Tuesday
